district,dvotes,rvotes
1,15538,10506
2,23839,12281
3,23839,12281
4,23839,12281
5,23628,34771
6,9579,19969
7,14590,36158
8,22373,31239
9,13003,23117
10,31011,15505
11,13003,23117
12,12476,29301
13,10872,33720
14,13003,23117
15,10482,15101
16,18110,35243
17,13003,23117
18,13003,23117
19,13003,23117
20,19043,48651
21,13003,23117
22,13003,23117
23,9835,20413
24,23746,47493
25,15560,5458
26,13003,23117
27,6250,16030
28,21166,38404
29,12744,15140
30,33220,36848
31,13003,23117
32,20202,31187
33,42544,21272
34,23839,12281
35,18655,26631
36,23384,26710
37,13003,23117
38,12580,13585
39,12786,20070
40,23839,12281
41,5349,15940
42,14085,37843
43,8988,22737
44,15406,36875
45,16994,19827
46,13168,16950
47,15419,21395
48,12489,23859
49,13003,23117
50,13003,23117